REG_ID,SEC_CUR_STAT,SEC_NAME,SEC_TITLE,Days,Time,Faculty,SeatsAvailableScheduledCapacity,CR_MIN,CR_MAX,Textbox8
91935,Active,HUM-295-04,ST: Arabic Tales and Falsafa,TTH  ,1:00 PM  - 2:20 PM  ,"Abdelfattah, Heba Arafa ",25 /25 ,4.00000,,RECORD COUNT 702
91938,Active,HUM-295-05,ST: Popular Arabic Film,TTH  ,2:30 PM  - 3:50 PM  ,"Abdelfattah, Heba Arafa ",24 /25 ,4.00000,,RECORD COUNT 702
91998,Active,HUM-395-01,"ST: Culture, Media, & Soc Jus",MW  ,10:00 AM - 11:50 AM  ,"Sutaria, Sejal ",14 /15 ,4.00000,,RECORD COUNT 702
90945,Active,JPN-102-01,Beginning Japanese II,MWF  ,10:00 AM - 10:50 AM  ,"Schimmel, Mariko Shigeta ",18 /20 ,4.00000,,RECORD COUNT 702
90946,Active,JPN-102-02,Beginning Japanese II,MWF  ,2:00 PM  - 2:50 PM  ,"Schimmel, Mariko Shigeta ",20 /20 ,4.00000,,RECORD COUNT 702
90947,Active,JPN-102L-01,Beginning Japanese II Lab,TTH  ,10:00 AM - 10:50 AM  ,"Chen, Chen ",17 /20 ,0.00000,,RECORD COUNT 702
90948,Active,JPN-102L-02,Beginning Japanese II Lab,TTH  ,2:00 PM  - 2:50 PM  ,"Chen, Chen ",19 /20 ,0.00000,,RECORD COUNT 702
90951,Active,JPN-222-01,Intermediate Japanese II,MTWTHF  ,1:00 PM  - 1:50 PM  ,"Schimmel, Mariko Shigeta; Chen, Chen",17 /18 ,4.00000,,RECORD COUNT 702
91914,Active,JPN-295-01,ST: Intro Japanese Ling,MWF  ,3:00 PM  - 3:50 PM  ,"Harada, Masashi ",27 /30 ,4.00000,,RECORD COUNT 702
90952,Active,JPN-332-01,Advanced Japanese II,MWF  ,9:00 AM  - 9:50 AM  ,"Harada, Masashi ",18 /18 ,4.00000,,RECORD COUNT 702
91929,Active,JPN-395-01,ST: Japanese Speaking,TH  ,3:00 PM  - 3:50 PM  ,"Chen, Chen ",9  /10 ,1.00000,,RECORD COUNT 702
91149,Active,LAS-111-01,Intro to Latin Amer Studies,MWF  ,11:00 AM - 11:50 AM  ,"Aparicio, Yvette ",18 /20 ,4.00000,,RECORD COUNT 702
90958,Active,LAT-222-01,Intermediate Latin,MTWTHF  ,10:00 AM - 10:50 AM  ,"Wagner, Nicholas ",19 /20 ,5.00000,,RECORD COUNT 702
90959,Active,LAT-344-01,Roman Thought,TTH  ,2:00 PM  - 3:50 PM  ,"Cummins, W Joseph ",15 /15 ,4.00000,,RECORD COUNT 702
91033,Active,LIN-114-01,Intro to General Linguistics,MWF  ,8:00 AM  - 8:50 AM  ,"Herold, Kelly ",19 /25 ,4.00000,,RECORD COUNT 702
91034,Active,LIN-114-02,Intro to General Linguistics,MWF  ,9:00 AM  - 9:50 AM  ,"Glewwe, Eleanor Rachel ",23 /25 ,4.00000,,RECORD COUNT 702
91571,Active,LIN-280-01,Phonetics/Phonology,TTH  ,1:00 PM  - 2:20 PM  ,"Glewwe, Eleanor Rachel ",19 /25 ,4.00000,,RECORD COUNT 702
91915,Active,LIN-295-01,ST: Intro Japanese Ling,MWF  ,3:00 PM  - 3:50 PM  ,"Harada, Masashi ",27 /30 ,4.00000,,RECORD COUNT 702
91465,Cancelled,LIN-295-01,ST: Language and Humor,TTH  ,2:30 PM  - 3:50 PM  ,"Sweet, Nikolas P ",20 /20 ,4.00000,,RECORD COUNT 702
91940,Active,LIN-395-01,ST: Experimental Linguistics,TTH  ,8:00 AM  - 9:50 AM  ,"Glewwe, Eleanor Rachel ",10 /15 ,4.00000,,RECORD COUNT 702
91303,Active,MAT-100-01,Math Laboratory,AR  ,,"Bourgeois Parsons, Renee F ",14 /15 ,1.00000,,RECORD COUNT 702
